                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.35,                 2.6218,                 1.8612,                 0.9528,                0.65801,                0.70968,                0.51739,                   1.47,                 2.5025,                  2.011,             0.00046889,             0.00046889,             0.00046889
                      2,                 1.3393,                 2.0551,                  1.803,                0.96393,                0.65801,                0.72529,                0.53266,                  1.434,                 2.2326,                 1.9675,             0.00085165,             0.00085165,             0.00085165
                      3,                 1.3344,                 1.7078,                 1.7947,                0.98364,                0.64936,                0.77513,                0.55241,                 1.4004,                 1.9204,                 1.9562,              0.0011401,              0.0011401,              0.0011401
                      4,                 1.3341,                 1.5009,                 1.8176,                0.79827,                0.82021,                0.80806,                0.55429,                 1.4022,                 1.9466,                 1.9337,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.2781,                 1.3403,                 1.7642,                0.77836,                0.83785,                0.80977,                0.57599,                 1.3477,                 1.5448,                 1.8889,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.2686,                 1.2236,                 1.7313,                0.82968,                0.81572,                0.84284,                0.60061,                 1.3314,                   1.52,                 1.8687,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.2374,                 1.1204,                 1.7049,                0.80975,                0.84579,                0.85135,                0.63341,                 1.2317,                 1.2372,                 1.7842,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.1953,                 1.0304,                 1.6705,                0.86352,                0.86245,                0.88326,                 0.6272,                 1.2544,                 1.1383,                 1.7987,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.1236,                0.98659,                 1.5851,                0.83674,                0.90509,                 0.8862,                  0.663,                 1.1704,                 1.0449,                 1.7311,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.1138,                 0.9357,                 1.5827,                0.84145,                0.87667,                0.87765,                0.66654,                 1.1473,                 1.0392,                 1.7024,             0.00015576,             0.00015576,             0.00015576
